,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,rooms_per_household,bedrooms_per_room,population_per_household,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN
74,-122.29,37.81,16.267684048495404,8.132648560047992,5.943883695494213,7.495742373177446,5.779759088612316,1.011230966630048,47.17454700170561,2.8627698907278094,-2.375727452832665,0.7368598220566417,0,0,0,1,0
76,-122.28,37.81,28.83797942768524,10.001866373452014,7.706560813079529,10.147156107359178,7.723466420461673,0.9929693416768774,44.197300917331255,2.6555376170218152,-2.3752326544959366,0.8321982014515567,0,0,0,1,0
79,-122.28,37.8,30.37607472302157,7.845976831354544,6.065148565847608,7.789542702251746,5.9927848028323485,0.7579263776491535,46.70155689826171,2.1152817732205995,-1.8319250174252972,0.7526240791133401,0,0,0,1,0
80,-122.28,37.81,13.841070387868887,8.279404620505202,6.752292750419439,8.807366143096603,6.882510379782956,0.4249085181369966,48.92351714788138,1.5287587498135597,-1.4998461971356918,0.7063118607040804,0,0,0,1,0
84,-122.28,37.81,28.066618928875407,8.316689916494576,6.125904679060221,8.327449393221654,6.114086874640142,0.6348152729873633,45.69062960724957,2.610912247550269,-2.362518523376047,0.9446944152112153,0,0,0,1,0
93,-122.27,37.79,21.833262245114646,8.472753208757766,7.010924411421162,9.111093552773422,6.946753815698291,1.0851117505610441,50.46819089644461,1.6815740721965942,-1.418584012651894,0.8135903674070952,0,0,0,1,0
96,-122.26,37.82,24.964606515078128,10.715760010168502,9.001875310595334,11.159162256682102,9.032652667253597,1.176824368680906,50.25043334040635,1.8778362319166442,-1.6275445826513972,0.52976844646834,0,0,0,1,0
99,-122.26,37.82,29.607782990246136,10.345157286647012,8.68876260077613,10.938280143736057,8.737150550093261,1.0732220307532108,50.79129731430313,1.7875112170267198,-1.575985979413199,0.6009078191949462,0,0,0,1,0
100,-122.25,37.81,23.402864048983446,10.736342671962245,9.095304179108888,11.402214815062289,9.125093510343676,1.0152938900996225,54.065551034191785,1.7961101993978381,-1.5482146231554608,0.5850328291223057,0,0,0,1,0
102,-122.25,37.81,31.142897273611784,8.165180244566514,6.5040167466735985,8.00400948954533,6.539574458078258,1.302113411786686,53.1172296116303,1.8062179370849392,-1.6643653140433072,0.5139553224797629,0,0,0,1,0
109,-122.25,37.82,22.61908259169376,10.212372264720498,8.32856052027129,10.555834072823352,8.42228671424489,1.5994284810813233,52.500405194448845,2.0017666594200523,-1.8394676648717443,0.6104588451771569,0,0,0,1,0
111,-122.25,37.82,25.7427031414777,10.419340300405322,8.706906573499875,10.90263279971991,8.803602537161584,1.0886617104865315,52.16871075870545,1.7971828813912334,-1.6353429322824615,0.5463595915790963,0,0,0,1,0
118,-122.23,37.84,39.491211723208174,9.774939447169393,7.210306147851974,9.678344231581425,7.257679536732315,2.180184911427532,56.92550588485054,3.029125350695967,-2.7826022432778026,0.8921124103721395,0,0,0,1,0
119,-122.23,37.84,37.22903032354243,10.134905079982518,7.396191133208997,9.916789336999063,7.650464491742409,2.02770465170559,57.65389549470968,2.9596269773822965,-3.013398134388869,0.7702968980244871,0,0,0,1,0
120,-122.24,37.83,32.67229426642248,9.811746471037996,7.235256670399822,9.299027362368786,7.269561749402987,2.2047047221067317,58.29828352132676,3.0670539450034706,-2.7969061099364017,0.7081977455408772,0,0,0,1,0
125,-122.22,37.85,22.61908259169376,10.938803431775185,8.635980927847282,11.142063643587928,8.697974328918985,2.0742898180286984,57.28310469413275,2.5800421561221367,-2.3206867376489626,0.7136038639070763,0,0,0,1,0
126,-122.22,37.84,39.491211723208174,10.01297914854354,7.455508856749923,9.795321070993202,7.631687455976497,2.5610512383108244,55.66588599250128,2.807293868404013,-2.7485994044370097,0.7252921975862512,0,0,0,1,0
127,-122.21,37.84,34.95631566651123,10.252519608611623,7.795153362095635,10.332166176679994,7.9661694984486076,2.2206645740349518,55.547811182026145,2.6595292143203215,-2.581454311509203,0.7745158700369393,0,0,0,1,0
128,-122.21,37.83,31.908291024388724,10.846848939881188,7.97402155978305,10.678383344019544,8.106117677439007,2.572531353186603,59.77541231422433,3.3308234293149956,-3.1448307069122525,0.8474798743214952,0,0,0,1,0
129,-122.2,37.84,24.184681972588397,9.577902103902913,7.006821241430126,9.413968948160191,7.133688150357785,2.232462430849766,56.31274041588471,2.923653684467949,-2.812447731517492,0.8438154459248123,0,0,0,1,0
130,-122.21,37.84,27.293653712285593,10.066419087553319,7.50671411816756,9.989553511324418,7.6843327603599105,2.4646038402269026,56.86196078918067,2.8064242374742068,-2.7468337641986027,0.7836957359736538,0,0,0,1,0
132,-122.2,37.84,28.066618928875407,9.975639291242844,7.415171160329195,9.87047104794159,7.514189198276987,2.5585526006493633,56.61270549215655,2.931282165089714,-2.7566573232121496,0.829143188399447,0,0,0,1,0
133,-122.21,37.83,27.293653712285593,10.870311434050969,8.206361265090411,10.692001534316422,8.350733366593154,2.4294270140363654,57.13665474641634,2.9830845906094674,-2.82524931117932,0.7134114915710409,0,0,0,1,0
134,-122.19,37.83,22.61908259169376,8.809473667508723,6.125904679060221,8.312099471323286,6.279502950280373,2.7051011380221635,57.20639340832771,3.111364223914742,-3.0819887675085536,0.8352861891444144,0,0,0,1,0
135,-122.2,37.83,21.045321857171547,9.078961209265122,6.390529585117654,8.595198001973564,6.428657273138178,2.743472287452674,57.78141229709236,3.297649885415208,-3.0560733809206093,0.8813943190505347,0,0,0,1,0
136,-122.19,37.83,23.402864048983446,9.258667039509,6.662030825990748,8.957920925646816,6.778203464206622,2.419515868092123,58.39352157350569,2.9992891171391696,-2.8865167043951416,0.8426054839076882,0,0,0,1,0
137,-122.19,37.82,25.7427031414777,9.295257286979313,6.625399126227681,8.88403975186036,6.7454975088965,2.7271213295783587,58.29145845124874,3.1107570727123317,-2.9995326927092787,0.8271731560730363,0,0,0,1,0
138,-122.2,37.82,29.607782990246136,8.6971232726465,6.103417494595492,8.13903510054306,6.171259550001531,2.4563122676067293,58.318740785450686,3.112745446597953,-2.946822652155075,0.8168753501296813,0,0,0,1,0
139,-122.2,37.82,31.142897273611784,10.403185681454094,7.631870333381293,10.192585299552832,7.696474869779411,2.2970800232664494,58.1852849246503,3.300689027455243,-3.034938430356566,0.8681431406624873,0,0,0,1,0
142,-122.2,37.81,35.715103134601705,10.02820242842331,7.3378026494655835,9.861447201680265,7.455571467903893,2.4038715131551154,56.771795442911326,3.1040493039659225,-2.949499861821107,0.8593568294749871,0,0,0,1,0
143,-122.21,37.8,39.491211723208174,9.95828154547442,7.814716367319115,10.184820431502457,7.846574335764248,1.202781226138581,52.07545745895951,2.420943476717015,-2.1755835152112817,0.7775912138093044,0,0,0,1,0
144,-122.21,37.8,30.37607472302157,9.607273616219379,7.6346005819114096,9.640546236244607,7.656675339032834,1.2838141416496247,52.9031463064022,2.2095172760330857,-1.9774472484010002,0.6376316052050715,0,0,0,1,0
163,-122.25,37.81,36.472665167173965,10.16257953883695,8.293053799270098,10.35386367295446,8.31169351671815,1.3431632999176049,52.1841929588683,2.076842282483489,-1.8247547735638083,0.58245746682959,0,0,0,1,0
164,-122.25,37.8,33.4349433561374,10.542838374235851,8.660445878610187,10.798040722819024,8.79270634858012,1.2210257899760355,52.500405194448845,1.9548838032194924,-1.823788285497527,0.5049673541209626,0,0,0,1,0
165,-122.25,37.8,34.196272856783104,9.680065325017416,8.213925999764205,10.333619412943122,8.258888385895439,0.832802010440867,53.70851518011924,1.569216716179201,-1.3892586992554157,0.6041901904608111,0,0,0,1,0
166,-122.25,37.8,32.67229426642248,8.963709736450499,7.443209394908951,9.852384974637806,7.409253721154615,0.5046591578172236,49.494004664764226,1.7158317488302772,-1.4686482840273578,0.8823125611503541,0,0,0,1,0
168,-122.24,37.79,21.833262245114646,9.118956404721205,7.512628106492378,10.041718956716103,7.466072628026849,0.9268243619782134,46.20219776656484,1.834502321649983,-1.5603784424267608,0.9341016166511751,0,0,0,1,0
169,-122.25,37.79,35.715103134601705,9.254455422439051,7.609853722688554,10.495957268715037,7.570743590722655,0.6146663884326387,43.75163640326674,1.8719904376830216,-1.5992788803944107,1.0715781555652912,0,0,0,1,0
170,-122.25,37.79,39.491211723208174,7.72643682248673,6.155357474537763,9.172312557903215,6.323629107560498,1.0900322802333848,46.20219776656484,1.5350728089554087,-1.5746722125097732,1.2099979540835062,0,0,0,1,0
173,-122.25,37.8,34.196272856783104,9.66707194220264,7.91359507953148,10.792149333494873,8.082410653239986,0.5309264272651117,48.20343708737847,1.7544837571413074,-1.7093234529347592,0.9102072344930483,0,0,0,1,0
177,-122.24,37.8,37.22903032354243,9.4599478174069,7.772848284534286,10.11043433347516,7.852079797661203,1.0821712332658842,50.18501614789587,1.78067627624465,-1.6404797465978023,0.7405676422415822,0,0,0,1,0
180,-122.24,37.8,38.738278031491454,9.961005872141326,8.130652771580033,10.512084480518066,8.159384677236906,1.0313452545597033,49.36157813996107,2.016007498473484,-1.7872228169567366,0.7433834828948029,0,0,0,1,0
182,-122.23,37.8,40.24305096068541,9.079902890585362,7.263281221914497,9.636527803032168,7.33147664254717,0.693189922718345,46.43451292327957,1.9534958230920785,-1.810974809178901,0.8295259241533102,0,0,0,1,0
183,-122.23,37.8,39.491211723208174,9.220355525072788,7.476799574108154,10.004829371315127,7.416467348950116,0.8912098162470017,46.08033222993268,2.0229320919315126,-1.7162612359231484,0.9463654018502449,0,0,0,1,0
187,-122.23,37.79,24.184681972588397,8.393045250028697,6.625399126227681,9.757675166165788,6.7454975088965,0.6825546994012152,47.17454700170561,1.8317527426338873,-1.7849261030121641,1.2225898478149517,0,0,0,1,0
188,-122.24,37.79,31.142897273611784,8.961681960744924,7.321181472154157,10.481069256972683,7.320049521341108,0.844373913904651,44.51645369618565,1.821087650916181,-1.60564014755878,1.2051481895935685,0,0,0,1,0
189,-122.24,37.79,37.22903032354243,8.860062018043473,7.195863368147722,10.148738625901155,6.951588088723413,0.822821787289195,43.55258705900205,2.1659568109306115,-1.6374767131431525,1.2718171939332905,0,0,0,1,0
191,-122.24,37.79,34.196272856783104,9.113435904784374,7.125326016350038,10.22184049708243,7.192760328515841,0.8934562673296667,45.12193534055627,2.177548703929185,-2.0255584255950803,1.1676447931265346,0,0,0,1,0
193,-122.25,37.79,31.142897273611784,7.2880721033984415,5.645033244377802,7.967583693623324,5.671816289704134,0.4962606791599388,45.148360204199676,1.80735888043564,-1.6858496585880312,1.0423346969583969,0,0,0,1,0
195,-122.26,37.8,16.267684048495404,9.68587847894684,8.189207798199652,10.731149198276535,8.157104096605266,0.5595298816413289,45.366394951921194,1.6901154594022123,-1.4216661761762996,0.8414955903258671,0,0,0,1,0
201,-122.22,37.78,39.491211723208174,9.363652986806716,7.6209010695429855,10.562387609058284,7.625379631063169,0.4165436210606177,46.50575050151859,1.9390925381153437,-1.7092126520315327,1.069085544277506,0,0,0,1,0
202,-122.23,37.78,34.196272856783104,8.911168377086089,7.452443182016664,10.537379748479408,7.497169790311225,0.7119534235519266,45.148360204199676,1.5523482055231899,-1.4017811740261337,1.1301785985129722,0,0,0,1,0
205,-122.23,37.79,37.98422590422581,9.176676739109272,7.199486905564991,10.504035668732053,7.133688150357785,0.773081602739842,45.99842668078083,2.343604613747515,-2.007657379530091,1.3172710746739666,0,0,0,1,0
206,-122.23,37.79,38.738278031491454,8.630889322401513,6.352798043496598,9.447249030044324,6.481854208082168,0.9140581137789816,44.59034595970598,2.514871466461124,-2.4627792236326913,1.2391282631062168,0,0,0,1,0
207,-122.22,37.79,29.607782990246136,9.666419525442468,7.7375054952334805,10.668426370679782,7.764580423610986,0.8364102124982415,46.79448247291567,2.144863003291494,-1.9198220801461507,1.0360135537281454,0,0,0,1,0
208,-122.23,37.79,24.184681972588397,7.68283379156718,5.802222802979237,8.159962719440603,5.850899001370621,0.509978380223807,46.014850625587705,2.0904822046181852,-1.9747531404120766,1.0252066071252728,0,0,0,1,0
209,-122.23,37.79,31.908291024388724,8.288811024635525,6.233415154515098,8.667365348356359,6.23405636167183,0.29318218114321337,45.218550936195044,2.389027682151991,-2.1717828478700416,1.033426712807331,0,0,0,1,0
210,-122.22,37.79,34.95631566651123,8.979838755054553,6.869260659896929,9.660524307106853,6.794301888254273,1.4571320020825602,44.881522613398346,2.555125300894148,-2.197221843618126,1.1528334995662686,0,0,0,1,0
213,-122.22,37.79,36.472665167173965,9.681358942733736,7.740056702926571,10.71654962738714,7.776138608194446,1.0702598062664206,46.17791895377784,2.149097896247579,-1.9343719552824514,1.0498730017001432,0,0,0,1,0
214,-122.22,37.79,38.738278031491454,9.287840894037418,7.38340636856169,10.091024078798608,7.448532275319332,1.0196426504597174,47.11449052056234,2.0678540869772335,-1.9091195471958315,0.9659930144499353,0,0,0,1,0
215,-122.22,37.79,30.37607472302157,10.07202467007261,8.053234065375998,11.275375456677654,8.117844575994667,1.1598934965046899,47.48531827750115,2.2088135722205813,-2.0100267416784425,1.0927920474480244,0,0,0,1,0
216,-122.2,37.79,23.402864048983446,9.126287302613836,7.125326016350038,9.616319850877598,7.12073744641654,1.1757488633003297,48.078323928875584,2.2928437218880955,-2.0414811766091234,0.9442109489947331,0,0,0,1,0
217,-122.21,37.79,37.22903032354243,9.035026747712484,6.837418030647802,9.447249030044324,6.897571773262488,1.231374304768407,47.271543111464936,2.4824635957092167,-2.313310838800227,0.9984123866399183,0,0,0,1,0
218,-122.21,37.79,27.293653712285593,9.680065325017416,7.693483548555314,10.551892572866771,7.744153585672887,1.177720087147958,47.30124130251069,2.189192366724285,-1.990945662513731,0.9978724516026368,0,0,0,1,0
219,-122.21,37.79,28.066618928875407,9.219493600221739,7.245826197941928,9.994657563532257,7.308539838778164,1.1948685323209547,47.63793852827958,2.162753353852106,-2.0006119275800684,1.0040139680109936,0,0,0,1,0
220,-122.21,37.8,31.142897273611784,9.427731298273534,7.536060307207291,9.936087088059065,7.583766668528301,1.2783442830112959,48.5245950481002,2.0724356083641293,-1.8860042068437024,0.8182482485542023,0,0,0,1,0
221,-122.21,37.8,31.142897273611784,9.439043237424148,7.3737475115624,10.123278111043224,7.524314974718901,1.2815021456270237,48.147979113535335,2.164475478959179,-2.1060307608142486,0.9366493250267299,0,0,0,1,0
222,-122.2,37.8,34.196272856783104,10.069988491593628,7.533150631529157,9.946540181099282,7.554315271085808,1.9337212914343564,54.73709687319461,3.0114111165673845,-2.712638385830147,0.8402102582491446,0,0,0,1,0
225,-122.2,37.8,32.67229426642248,9.47765189595385,7.0393392767349345,9.322530205625927,7.12073744641654,1.9804602580909054,53.21828489256609,2.7927874910663593,-2.6220470305594574,0.8088389100855443,0,0,0,1,0
226,-122.21,37.8,37.98422590422581,8.803875331287704,6.620091670793656,8.471173696830414,6.683684878243618,1.6651641554479961,52.73548476666552,2.4654888722742316,-2.31203535348865,0.6628478808143422,0,0,0,1,0
227,-122.19,37.8,37.98422590422581,9.174904379150842,6.598670430701526,8.810369475928413,6.6012648254983555,1.870965337021365,54.04292619277607,3.158921953245149,-2.863532188391838,0.8794596855834027,0,0,0,1,0
228,-122.19,37.8,36.472665167173965,9.377768862634499,6.986136719752967,9.236641494816777,7.085673534785481,1.7232274215798837,53.56412935082857,2.6984995254703787,-2.5624494883207802,0.7894034518521862,0,0,0,1,0
229,-122.19,37.79,39.491211723208174,8.347085563541048,6.205510727704787,8.30824322745037,6.23405636167183,1.242649377413338,50.017061134245715,2.4730657620853465,-2.2888750316216777,0.8615101345143578,0,0,0,1,0
230,-122.2,37.79,31.908291024388724,8.479674242438024,6.582399475007736,8.974596070934991,6.583015815685767,1.690676949999976,49.38057667738175,2.1583387416845516,-1.9457531410392073,0.9677352400640659,0,0,0,1,0
231,-122.2,37.8,36.472665167173965,9.456234770202776,7.231717178591923,9.846929072271816,7.357825640970703,1.5791605601386824,51.360964635972536,2.4140182878338448,-2.3185915733054814,0.9098334308710452,0,0,0,1,0
233,-122.19,37.79,35.715103134601705,9.89433394802734,7.386612542621378,9.930841319155682,7.5510093955248445,1.84435889918873,52.839273736613,2.754921460689374,-2.6859872212062355,0.8350271158625737,0,0,0,1,0
234,-122.19,37.79,22.61908259169376,10.119656255692686,8.154334770820743,10.823779417821736,8.141051285763476,1.2189308611537575,47.39728958155342,2.240137630192487,-1.9416977697734599,0.8907317415361006,0,0,0,1,0
235,-122.2,37.79,28.066618928875407,9.2678936104619,7.41202404033718,9.753873563696358,7.323867674547383,0.9196396894094595,46.282790710197546,2.206137505214405,-1.8499135870151306,0.8876312095859411,0,0,0,1,0
236,-122.2,37.79,38.738278031491454,8.211895736964154,6.205510727704787,9.159708023497252,6.421875749548098,1.099875744818475,45.957272426420225,2.0196417059407654,-2.109598094024576,1.1472637337352958,0,0,0,1,0
237,-122.2,37.79,34.95631566651123,9.108820758721608,7.389812042370671,10.326343522416042,7.669025929214031,1.0773219583346414,46.963105220856896,1.5833758165411975,-1.6918941277904076,0.9429211793998025,0,0,0,1,0
238,-122.21,37.79,35.715103134601705,9.510330269469332,7.629135275446959,10.568921712975712,7.615871449492466,0.977995073061428,47.3160647107458,2.1369870206822283,-1.8689768975217158,1.0771685775977795,0,0,0,1,0
239,-122.2,37.79,35.715103134601705,9.441296084106094,7.615387228138896,10.406479841616171,7.634832154564044,1.151680645328747,45.400926539137004,2.024382076164535,-1.8050328844404155,0.997168020266685,0,0,0,1,0
240,-122.21,37.78,36.472665167173965,9.59708836253593,7.559142766840753,10.37819613520641,7.892789136577226,1.1317265659459663,47.15955923658106,1.8967947502991795,-2.0609503592778404,0.8374598823142142,0,0,0,1,0
243,-122.21,37.78,38.738278031491454,8.237964685755635,6.515471240404048,9.263265467188393,6.643024473253695,1.2721798740429997,47.17454700170561,1.7670468020043875,-1.7364852564965194,1.0644576650139013,0,0,0,1,0
244,-122.22,37.78,34.95631566651123,10.03029113237872,8.051144652958282,11.370473961552081,7.999152856245023,0.9647183217665644,45.07776756608789,2.3105489243981876,-1.96313862861276,1.1954854099292245,0,0,0,1,0
245,-122.21,37.78,34.196272856783104,9.181981989544775,7.415171160329195,10.1328610218399,7.387415505231402,0.5766907808096071,46.34689612449918,2.0113521391456737,-1.7457291350363195,1.0193074869173995,0,0,0,1,0
246,-122.21,37.78,37.22903032354243,8.210251620911604,6.5381179026294305,9.199773940246226,6.6193003609747665,1.080176232079603,45.04231890988009,1.7622816008030304,-1.6756722188401727,1.04966814087121,0,0,0,1,0
247,-122.22,37.77,31.908291024388724,7.384963648390785,5.48004440064308,8.611829609615176,5.800434795298855,1.1619742098345227,45.34909298195082,1.7640784122636297,-2.0293567272826087,1.2656741226806505,0,0,0,1,0
248,-122.22,37.78,39.491211723208174,9.2459986464572,7.455508856749923,10.903755407765395,7.50399920898032,0.5824761439901862,44.216309005490054,1.9443121193554558,-1.771310506799699,1.276651074439901,0,0,0,1,0
249,-122.22,37.78,34.95631566651123,9.160653866576608,7.576231492625262,10.780319598899705,7.681282952808949,0.7974993781650893,46.748104534285176,1.6290150949505278,-1.5340281230420179,1.1292032247400627,0,0,0,1,0
250,-122.22,37.78,40.24305096068541,9.123542185398485,7.424574088165552,10.585820303809108,7.335267547169076,1.014204850407236,45.71587067523907,2.0038471089197665,-1.6675998243488621,1.2399287167217348,0,0,0,1,0
254,-122.2,37.77,38.738278031491454,9.619411681979704,7.530235470539946,10.68458380530644,7.644229690626312,0.9866338290375052,44.225801862911425,2.242013509218292,-2.125919892243948,1.1099212616549972,0,0,0,1,0
255,-122.21,37.77,36.472665167173965,8.70311616532806,7.121521379410965,10.061576778350087,7.180286342466464,0.9339242838787484,43.86949753254409,1.6777926876161504,-1.5471505023918264,1.1063412916425313,0,0,0,1,0
256,-122.21,37.77,34.196272856783104,8.419116626922802,6.9309926950372684,9.395999909548738,6.820767870758563,0.8967665683419541,43.995889137252625,1.7700748454367907,-1.4500794814910605,1.0202412339592928,0,0,0,1,0
257,-122.19,37.77,33.4349433561374,8.291933747981137,6.571452315398714,9.535599484403086,6.7454975088965,0.631708786283718,43.227032567967726,1.7068387303747992,-1.7312867032903336,1.1262077028213187,0,0,0,1,0
258,-122.2,37.77,31.142897273611784,9.877804385877113,7.795153362095635,10.992869350926904,7.804679640913282,0.8945248722572631,43.48212886195556,2.369682521346857,-2.1016982711779213,1.1487581627149621,0,0,0,1,0
259,-122.2,37.77,32.67229426642248,9.038895949932813,7.2667484379286105,9.78222083818061,7.125066158840791,0.7838481914468871,44.18778566025044,2.169714787270063,-1.7587022825629983,1.015964967245402,0,0,0,1,0
261,-122.2,37.78,31.142897273611784,9.225517295426146,7.210306147851974,9.868669332744444,7.269561749402987,1.2986609904415165,45.92425140688589,2.222980176044865,-2.0539453321259424,0.970787279148936,0,0,0,1,0
262,-122.2,37.78,39.491211723208174,9.321351085623677,7.224613485991786,9.96901488839007,7.277434157754922,1.039311079934825,46.5294075463007,2.3413332303634284,-2.155094278389088,1.0106110773635104,0,0,0,1,0
263,-122.2,37.77,34.196272856783104,9.722218237819956,7.541863287550293,10.578037042033424,7.6473500973672355,1.2050287718487538,45.907708181528484,2.3751424398652796,-2.239648253908907,1.0634015887111088,0,0,0,1,0
264,-122.21,37.78,34.95631566651123,9.205638928828646,7.263281221914497,10.153479238989693,7.335267547169076,0.9243108392646727,44.26369902053766,2.1093324543922614,-1.9614098444632677,1.0579527286523038,0,0,0,1,0
271,-122.19,37.78,38.738278031491454,8.640881100770997,6.274298810439694,8.435304232689136,6.41506401435195,2.0126829682743215,49.668561695820394,2.6306115330127255,-2.5943163960382556,0.8120029281694828,0,0,0,1,0
273,-122.2,37.78,35.715103134601705,9.237496738615606,6.948175669365435,9.469144549704135,7.0633558691554095,1.823770957156624,48.988850039606874,2.52890811141221,-2.426657493587094,0.9109296594193177,0,0,0,1,0
275,-122.18,37.79,32.67229426642248,8.901711594572667,6.451344973894632,8.857826076721313,6.4488233175709695,2.4718451104694696,53.27093508544026,2.9763988103594503,-2.696299498863083,0.9935908480447696,0,0,0,1,0
276,-122.18,37.79,36.472665167173965,9.506011340847788,7.166560709727345,9.581514664606809,7.072320908128515,1.6219909470185123,51.621133871103986,2.910768428727025,-2.475879128065266,0.9568025679970811,0,0,0,1,0
277,-122.19,37.79,37.22903032354243,8.6971232726465,6.509755068919082,8.724539167058552,6.706448485523304,1.2283807301342502,51.07348843131348,2.2832290186946174,-2.3256891757537095,0.7740206987661696,0,0,0,1,0
278,-122.19,37.79,39.491211723208174,8.325871766347188,6.352798043496598,8.608514334748605,6.359448050222383,1.099875744818475,49.58156705625473,2.2600867051963007,-2.0562119509100074,0.9299173279639825,0,0,0,1,0
279,-122.18,37.81,29.607782990246136,9.12902767713727,6.614765215250126,8.840159994987376,6.761936568836307,2.0709339524714188,57.261226403550324,2.825522038106092,-2.771462070628284,0.7960969814848746,0,0,0,1,0
280,-122.18,37.8,27.293653712285593,8.841555745390371,6.205510727704787,8.229486349900565,6.316363087553761,2.2858581292707942,56.570761578172245,3.10093049097687,-2.9988681408939852,0.7713740824564255,0,0,0,1,0
